a,b,d,e,f,g,h,i,j,k,l,m
3,4,13,0,5,0,0,0,1,1,2,0
1,0,13,2,5,3,0,1,1,1,2,0
1,0,10,2,8,1,0,1,1,1,1,0
2,0,12,0,0,0,0,0,1,1,2,0
2,5,10,2,8,0,0,0,2,1,1,0
3,5,13,0,5,2,0,1,1,1,4,0
1,0,6,2,1,1,0,1,1,1,2,2
3,0,5,0,6,2,0,1,1,1,2,20
2,0,9,1,11,5,4,0,1,1,1,0
1,0,10,2,8,2,0,1,1,1,2,0
4,0,9,2,1,3,0,1,1,1,2,0
2,0,10,0,10,2,4,1,1,2,3,0
2,0,11,0,1,2,0,1,1,1,2,0
3,1,9,0,1,2,0,1,1,1,3,0
3,0,5,4,11,2,0,1,1,1,2,31
3,1,9,0,10,2,0,1,1,1,3,0
2,0,2,0,7,0,0,0,1,1,2,24
1,0,7,0,8,2,0,1,1,1,1,0
2,0,9,5,1,1,0,1,1,1,2,0
2,0,13,0,5,0,0,0,1,1,2,0
3,1,13,0,1,2,0,1,1,1,2,0
1,0,7,2,2,1,0,0,1,1,2,0
1,0,14,2,5,3,0,0,1,1,1,0
3,5,13,1,5,3,0,1,1,1,2,0
2,4,9,1,5,5,4,0,1,1,1,0
3,0,2,0,1,2,0,1,1,1,2,20
2,0,10,0,4,2,0,1,2,1,2,0
2,0,13,2,11,3,0,0,1,1,1,0
1,0,10,2,4,1,0,1,1,1,2,0
3,4,13,4,4,3,0,0,2,1,1,0
2,0,2,0,1,2,0,1,1,1,3,20
1,0,13,2,3,3,0,0,1,1,1,0
2,0,10,0,1,2,0,1,1,1,1,0
3,0,16,0,5,2,0,1,1,1,2,0
2,0,13,2,5,3,0,0,1,1,1,0
2,0,14,0,5,0,0,0,2,1,2,0
3,0,6,0,1,2,0,1,1,1,2,0
2,1,13,1,4,3,0,1,1,1,2,0
2,0,9,5,10,3,0,1,1,1,2,0
2,5,13,0,5,2,0,1,2,1,3,0
1,0,8,2,2,1,0,1,1,1,1,0
1,0,9,2,2,1,0,0,1,1,1,0
3,4,13,0,5,2,0,1,2,1,4,0
1,0,7,2,2,1,0,1,1,1,2,0
2,4,10,0,0,2,0,1,1,1,2,0
2,0,13,1,5,3,0,1,1,1,2,0
1,0,10,2,8,1,0,0,1,1,1,0
3,0,13,3,5,3,4,1,1,1,2,0
2,0,8,0,5,2,0,1,1,2,2,0
3,5,11,0,1,2,0,1,1,1,2,0
1,0,7,0,7,2,0,1,1,1,1,0
2,0,13,0,3,2,0,1,1,1,3,0
2,0,7,2,1,3,0,1,1,1,2,0
1,0,9,0,1,2,0,1,1,1,2,0
2,0,13,1,11,5,0,0,1,1,1,0
2,2,10,0,4,2,0,1,2,1,2,0
2,0,13,0,5,0,0,0,1,1,4,0
1,0,7,2,1,3,0,1,1,1,2,0
2,0,13,2,7,5,0,0,1,1,2,0
1,0,8,0,2,2,0,1,1,1,1,0
2,0,10,0,8,3,0,1,1,1,2,0
2,0,10,1,1,3,0,1,1,1,2,0
3,0,4,0,1,2,0,1,1,1,2,0
1,0,13,2,4,3,0,1,1,1,1,0
3,2,10,0,4,2,0,1,1,1,4,0
1,0,9,2,8,1,0,0,1,1,1,0
2,0,9,2,7,3,0,1,1,1,2,0
3,0,9,0,10,2,0,1,1,1,3,0
2,0,13,0,4,2,0,1,1,1,2,2
2,0,13,2,5,3,0,0,1,1,3,0
3,2,13,0,4,2,0,1,3,1,3,0
2,4,9,1,2,5,0,1,1,1,2,0
3,0,11,1,5,3,0,1,1,1,2,0
3,4,11,0,12,2,0,1,1,1,2,0
2,0,13,1,4,3,0,0,1,1,2,0
2,0,6,2,2,3,0,0,1,1,1,0
2,0,10,1,8,3,0,0,2,1,2,0
2,0,9,0,4,0,0,0,1,1,3,0
1,0,7,2,9,1,0,0,1,1,1,0
2,4,12,0,5,2,0,1,1,1,2,0
1,0,10,2,5,1,0,0,1,1,1,0
1,0,10,2,2,1,0,1,1,1,1,0
2,0,13,0,7,0,0,0,1,1,2,0
2,0,13,2,5,5,4,0,1,1,2,0
2,2,10,0,8,2,0,1,1,1,2,0
3,1,11,1,5,5,0,0,1,1,2,0
2,0,11,0,1,2,0,1,1,1,1,0
3,4,9,1,5,3,4,0,1,1,2,0
2,0,13,0,5,0,0,0,2,1,2,0
3,0,14,0,5,2,0,1,1,1,2,0
1,0,9,2,2,1,0,0,1,1,1,0
2,2,9,0,10,2,0,1,1,2,4,0
2,0,13,1,5,3,0,0,2,1,3,0
1,0,11,2,1,1,0,1,1,1,2,0
2,0,13,0,4,2,0,1,1,1,3,0
3,1,15,0,5,2,0,1,1,1,3,0
2,5,13,1,8,5,0,0,2,1,1,0
1,0,9,2,8,1,0,0,1,1,1,0
1,0,16,0,5,2,1,1,1,1,1,27
2,0,9,0,1,2,0,1,1,1,2,0
