a,b,c,d,e,f,g,h,i,j,k
2.341888,2.027311,-0.779667,1.420157,0.216259,-0.490395,1.861252,-0.298211,0.000000,1.000000,0.000000
0.414525,0.051613,-0.622907,-0.666803,-0.632632,-1.635656,-0.102130,-1.497333,0.000000,0.000000,1.000000
0.163129,-0.385005,-0.466147,1.002765,1.065151,0.654866,0.790316,0.900911,0.000000,1.000000,1.000000
1.210609,1.525200,0.160893,-0.519488,-1.481523,0.654866,0.076359,-1.497333,0.000000,1.000000,0.000000
-1.010048,-1.367396,0.631173,-0.107007,-1.481523,0.654866,-0.102130,-0.058387,0.000000,1.000000,0.000000
-1.271918,-0.024795,0.631173,1.538009,1.914042,0.654866,1.325784,1.140735,0.000000,1.000000,0.000000
-0.339661,-0.767046,-0.466147,1.189364,1.914042,0.654866,0.790316,1.380559,0.000000,0.000000,0.000000
-1.690910,-1.716691,0.317653,-1.285526,0.216259,0.654866,-1.530045,-0.058387,0.000000,0.000000,2.000000
0.341201,0.510062,0.631173,1.538009,1.914042,1.800128,1.325784,1.140735,0.000000,1.000000,0.000000
-2.015629,-1.411058,-1.563468,-0.868134,-0.632632,0.654866,-0.459109,-1.257508,1.000000,0.000000,0.000000
1.032538,-0.112119,-1.406708,-1.806038,-0.632632,0.654866,-1.708534,-1.017684,1.000000,1.000000,0.000000
-0.255863,-0.537822,0.317653,0.496984,-0.632632,0.654866,0.968805,-0.777860,0.000000,1.000000,0.000000
0.205029,0.946681,0.317653,-0.347621,1.914042,0.654866,-0.280620,-0.298211,0.000000,0.000000,0.000000
0.194554,-0.133950,0.631173,0.855450,0.216259,-1.635656,0.611827,0.900911,0.000000,1.000000,0.000000
0.330726,0.029782,0.474413,0.816166,0.216259,0.654866,0.790316,0.421262,0.000000,0.000000,1.000000
-0.004468,-0.002964,-0.152627,0.590283,0.216259,0.654866,0.968805,-0.538035,1.000000,1.000000,0.000000
-0.601531,-0.679723,0.631173,1.312126,0.216259,0.654866,1.504273,0.181438,0.000000,1.000000,0.000000
-0.957674,-0.985355,0.474413,-0.386905,-2.330415,0.654866,-0.102130,-0.777860,0.000000,0.000000,1.000000
-0.255863,-0.177611,0.004133,-0.873044,-0.632632,-0.490395,-0.012886,-2.216806,1.000000,1.000000,0.000000
-1.167170,-2.240633,0.787933,0.575552,1.914042,-0.490395,0.611827,0.181438,0.000000,1.000000,0.000000
-0.308237,-0.963524,0.631173,1.739339,1.065151,0.654866,1.682762,0.900911,0.000000,1.000000,0.000000
0.445949,0.913934,0.631173,0.428237,-0.632632,0.654866,0.433337,0.181438,0.000000,0.000000,0.000000
